time,latitude,longitude,depth,mag
2016-04-16T18:39:37.000Z,"19.3996667","-155.2531667","12.823","3.54"
2016-04-16T18:30:22.760Z,"33.0162","131.05","16.01","4.3"
2016-04-16T18:08:28.490Z,"0.3736","97.883","23.68","4.8"
2016-04-16T16:29:50.150Z,"14.6004","55.6824",10,"4.7"
2016-04-16T15:20:11.340Z,"10.1587","-104.3235",10,"4.9"
2016-04-16T15:14:52.980Z,"32.9334","130.9408",10,"4.7"
2016-04-16T15:07:56.270Z,"-21.1967","-68.8511","154.65","4.6"
2016-04-16T14:57:52.550Z,"-0.1048","123.6653","121.4","4.1"
2016-04-16T14:46:34.000Z,"51.4697","-177.0996",48,"3.2"
2016-04-16T14:03:26.300Z,"19.4433","-64.7331",57,"3.6"
2016-04-16T13:50:07.990Z,"51.0243","157.2744","79.79","4.5"
2016-04-16T13:28:09.030Z,"4.1483","127.0211","41.41","4.4"
2016-04-16T12:19:12.000Z,"56.2361","-161.6614","235.1","3.3"
2016-04-16T12:05:06.270Z,"32.7277","130.75","12.73","4.6"
2016-04-16T12:03:37.310Z,"4.0705","126.922","11.92","4.7"
2016-04-16T10:55:45.590Z,"22.4474","121.8521",10,"4.9"
2016-04-16T08:40:20.290Z,"32.7657","130.5546","3.34","4.6"
2016-04-16T07:56:21.170Z,"3.4605","126.9521","65.21","4.7"
2016-04-16T07:46:45.900Z,"19.3008","-64.4811",78,"3.3"
2016-04-16T07:34:24.800Z,"-29.625","-111.6386",10,"5.4"
2016-04-16T07:02:03.000Z,"32.7466","130.6675","16.2","5.3"
2016-04-16T06:09:17.100Z,"18.2467","-67.7535",2,3
2016-04-16T06:05:24.290Z,"-26.4526","-70.0226","72.92","5.4"
2016-04-16T05:27:04.160Z,"32.6604","130.6393","1.27","4.6"
2016-04-16T05:03:58.160Z,"33.0029","131.1177","10.71","4.6"
2016-04-16T04:14:27.450Z,"-5.929","149.4939","100.32","4.6"
2016-04-16T02:39:32.420Z,"40.9946","70.9794","39.65","4.8"
2016-04-16T02:10:47.490Z,"36.0491","70.7759","95.13","4.6"
2016-04-16T02:02:52.140Z,"32.7292","130.6701",10,"4.9"
2016-04-16T01:38:53.700Z,"32.4855","130.4648",10,"4.3"
2016-04-16T00:48:32.840Z,"32.848","130.777","9.09","5.2"
2016-04-16T00:25:22.500Z,"18.6924","-65.0546",16,"3.2"
2016-04-16T00:22:13.970Z,"-14.5884","166.6468",10,"4.9"
2016-04-16T00:16:29.230Z,"32.5587","130.5832",10,"4.3"
2016-04-16T00:10:41.290Z,"34.9371","25.7577",10,5
2016-04-15T23:55:41.150Z,"50.8125","-177.785","30.41","3.7"
2016-04-15T23:48:04.840Z,"-15.0858","-171.7556","24.93","4.5"
2016-04-15T23:20:42.100Z,"32.6446","130.6674",10,"4.5"
2016-04-15T22:57:19.880Z,"7.3828","123.8666","606.67","4.4"
2016-04-15T22:55:23.770Z,"13.6401","-92.2041","36.62","4.2"
2016-04-15T22:42:33.640Z,"32.788","130.6451",10,"4.1"
2016-04-15T22:23:55.040Z,"32.7537","130.7439",10,"4.6"
2016-04-15T22:11:40.290Z,"33.2561","131.3701",10,"5.1"
2016-04-15T21:55:13.200Z,"18.4724","-66.8373",12,"2.7"
2016-04-15T21:48:22.000Z,"63.2756","-150.5667","131.1","2.9"
2016-04-15T21:40:01.520Z,"32.9452","130.9174",10,"4.5"
2016-04-15T21:31:03.890Z,"32.8671","131.1369","10.95","4.3"
2016-04-15T21:21:32.770Z,"34.3641667","-118.6446667","10.77","3.08"
2016-04-15T21:03:27.740Z,"-25.4182","-177.3688","211.83",4
2016-04-15T20:39:15.980Z,"13.6195","-92.0619","57.67","4.5"
2016-04-15T20:34:13.650Z,"32.569","130.509",10,"4.5"
2016-04-15T19:51:23.840Z,"32.6977","130.7336","3.35","4.7"
2016-04-15T19:35:57.000Z,"53.6507","-164.8434","47.2","2.6"
2016-04-15T19:28:03.000Z,"54.5783","-162.5757","13.3","2.6"
2016-04-15T19:27:24.000Z,"52.2161","-168.4679","14.9","3.2"
2016-04-15T19:18:16.150Z,"32.937","130.9495","10.57","4.4"
2016-04-15T19:02:10.000Z,"36.9552","-98.0907","8.311","2.9"
2016-04-15T18:59:43.000Z,"63.0874","-151.452","11.3","2.5"
2016-04-15T18:55:53.490Z,"32.9797","131.1355","13.78","5.5"
2016-04-15T18:47:11.320Z,"-14.5133","166.7251","28.79","5.2"
2016-04-15T18:38:27.000Z,"51.2016","-177.5471","23.3","2.8"
2016-04-15T18:26:53.020Z,"32.8701","130.9177",10,"4.5"
2016-04-15T18:25:18.200Z,"51.3589","-177.47","44.52","3.9"
2016-04-15T18:20:49.770Z,"33.1011","130.9965","19.36","4.5"
2016-04-15T18:16:42.600Z,"33.0864","130.8355","18.63","4.6"
2016-04-15T18:03:11.030Z,"32.9259","131.0429","4.91","5.4"
2016-04-15T18:01:03.930Z,"39.7847","141.791","52.94","4.7"
2016-04-15T17:49:18.410Z,"33.2029","131.3205","12.24","4.5"
2016-04-15T17:24:22.000Z,"63.4674","-147.5492","5.5","2.5"
2016-04-15T17:07:06.000Z,"61.6581","-147.734","18.3","3.4"
2016-04-15T17:04:11.620Z,"32.7571","130.7424","11.73","4.6"
2016-04-15T16:59:20.610Z,"45.0365","-111.872","8.9","2.53"
2016-04-15T16:45:56.630Z,"32.8805","130.8463",10,"5.7"
2016-04-15T16:44:06.880Z,"32.6953","130.7351",10,"5.3"
2016-04-15T16:35:15.960Z,"45.034","-111.8781667","2.91","2.65"
2016-04-15T16:28:57.000Z,"62.8745","-148.2378","66.3","3.3"
2016-04-15T16:25:06.260Z,"32.782","130.7259",10,7
2016-04-15T16:09:57.000Z,"19.6909","-65.143",25,3
2016-04-15T15:21:25.550Z,"51.3547","90.0473",15,"4.7"
2016-04-15T15:20:21.480Z,"-14.1387","166.5033",10,"4.8"
2016-04-15T14:11:27.050Z,"13.4179","-92.2798",25,"6.1"
2016-04-15T14:04:29.510Z,"36.453","-98.8291","6.92",3
2016-04-15T13:29:36.950Z,"36.4763","-98.7476","6.82","2.9"
2016-04-15T13:23:45.000Z,"57.1232","-157.7104","12.6","3.7"
2016-04-15T12:51:25.310Z,"36.4172","71.2991","100.76","4.5"
2016-04-15T12:18:26.200Z,"19.1891","-64.657",65,"2.8"
2016-04-15T11:05:32.180Z,"4.1139","126.6943","43.14","5.1"
2016-04-15T10:56:55.030Z,"-3.7302","100.368","35.07","4.4"
2016-04-15T10:45:14.000Z,"18.5762","-67.9223",176,"3.5"
2016-04-15T10:41:50.870Z,"-24.7177","179.8974","528.47","4.7"
2016-04-15T10:24:30.230Z,"-3.7833","100.4874","38.51","4.9"
2016-04-15T08:54:40.370Z,"-13.7783","166.5756","42.96","5.1"
2016-04-15T08:54:26.000Z,"63.1544","-151.4399","13.6","4.4"
2016-04-15T08:36:50.960Z,"40.4725","-126.1268333","9.62","2.7"
2016-04-15T07:57:12.000Z,"63.1533","-151.4589","13.4","3.1"
