time,latitude,longitude,gids
2016-6-8T10:46:53,"35.4735196","139.58631509","185"
2016-6-8T10:46:54,"35.47356674","139.58633649","185"
2016-6-8T10:46:57,"35.47371609","139.5864366","185"
2016-6-8T10:46:58,"35.47376663","139.58647214","185"
2016-6-8T10:47:1,"35.47391544","139.58658184","185"
2016-6-8T10:47:2,"35.47396308","139.58662147","185"
2016-6-8T10:47:3,"35.4740095","139.58665579","185"
2016-6-8T10:47:6,"35.47415045","139.58676089","185"
2016-6-8T10:47:7,"35.47419377","139.58679613","185"
2016-6-8T10:47:10,"35.47430562","139.5868824","185"
2016-6-8T10:47:11,"35.47434471","139.58692991","185"
2016-6-8T10:47:14,"35.47449143","139.58706113","185"
2016-6-8T10:47:15,"35.47455932","139.58710609","185"
2016-6-8T10:47:18,"35.47477552","139.58726535","185"
2016-6-8T10:47:19,"35.4748459","139.58732405","185"
2016-6-8T10:47:22,"35.47506014","139.5874986","185"
2016-6-8T10:47:23,"35.47513117","139.58755918","185"
2016-6-8T10:47:26,"35.47532747","139.58773189","185"
2016-6-8T10:47:29,"35.47543646","139.58793218","185"
2016-6-8T10:47:30,"35.47545293","139.58801469","185"
2016-6-8T10:47:31,"35.47547148","139.58809637","185"
2016-6-8T10:47:34,"35.47550665","139.58835747","185"
2016-6-8T10:47:37,"35.47540477","139.58863776","185"
2016-6-8T10:47:38,"35.47536661","139.5887396","185"
2016-6-8T10:47:41,"35.47525323","139.58907159","185"
2016-6-8T10:47:42,"35.4752182","139.58918108","185"
2016-6-8T10:47:43,"35.47518007","139.58929709","185"
2016-6-8T10:47:46,"35.47505566","139.58960853","185"
2016-6-8T10:47:47,"35.47501779","139.58971207","185"
2016-6-8T10:47:48,"35.47498113","139.58980497","185"
2016-6-8T10:47:51,"35.47486319","139.59009236","185"
2016-6-8T10:47:52,"35.47482727","139.59019005","185"
2016-6-8T10:47:55,"35.47472568","139.59049436","185"
2016-6-8T10:47:56,"35.47469237","139.59059138","185"
2016-6-8T10:47:59,"35.47459491","139.59092677","185"
2016-6-8T10:48:0,"35.47455021","139.59104743","185"
2016-6-8T10:48:3,"35.47445347","139.59142909","185"
2016-6-8T10:48:4,"35.47442101","139.59154408","185"
2016-6-8T10:48:7,"35.47432519","139.59184916","185"
2016-6-8T10:48:8,"35.47430641","139.59194128","185"
2016-6-8T10:48:11,"35.47420862","139.59227949","184"
2016-6-8T10:48:12,"35.47417714","139.59238113","184"
2016-6-8T10:48:15,"35.47409323","139.59269603","184"
2016-6-8T10:48:16,"35.47407615","139.59280337","184"
2016-6-8T10:48:19,"35.47403514","139.59311725","184"
2016-6-8T10:48:20,"35.47401989","139.59322648","184"
2016-6-8T10:48:23,"35.47392632","139.59355517","184"
2016-6-8T10:48:24,"35.47389636","139.59366248","184"
2016-6-8T10:48:27,"35.4737601","139.59394191","184"
2016-6-8T10:48:28,"35.47371229","139.59403795","184"
2016-6-8T10:48:31,"35.47354506","139.59428821","184"
2016-6-8T10:48:32,"35.4735056","139.59434304","184"
2016-6-8T10:48:35,"35.47343052","139.59443246","184"
2016-6-8T10:48:36,"35.47341931","139.59445541","184"
2016-6-8T10:48:39,"35.47342214","139.59446069","184"
2016-6-8T10:48:40,"35.47342114","139.59446092","184"
2016-6-8T10:48:41,"35.47342046","139.5944599","184"
2016-6-8T10:48:44,"35.47342057","139.59446058","184"
2016-6-8T10:48:45,"35.4734217","139.59446083","184"
2016-6-8T10:48:48,"35.47342371","139.59446327","184"
2016-6-8T10:48:49,"35.47342358","139.59446388","184"
2016-6-8T10:48:52,"35.47342348","139.59446436","184"
2016-6-8T10:48:53,"35.47342348","139.59446444","184"
2016-6-8T10:48:56,"35.47342342","139.59446465","184"
2016-6-8T10:48:57,"35.47342341","139.5944647","184"
2016-6-8T10:49:0,"35.47342335","139.59446485","184"
2016-6-8T10:49:1,"35.47342334","139.59446487","184"
2016-6-8T10:49:4,"35.4734233","139.59446496","184"
2016-6-8T10:49:5,"35.4734233","139.59446499","184"
2016-6-8T10:49:6,"35.47342329","139.59446501","184"
2016-6-8T10:49:9,"35.47342327","139.59446504","184"
2016-6-8T10:49:10,"35.47342327","139.59446505","184"
2016-6-8T10:49:13,"35.47342333","139.59446507","184"
2016-6-8T10:49:14,"35.47342335","139.59446508","184"
2016-6-8T10:49:17,"35.47342339","139.59446506","184"
2016-6-8T10:49:18,"35.4734234","139.59446508","184"
2016-6-8T10:49:21,"35.47342341","139.59446514","184"
2016-6-8T10:49:22,"35.47342341","139.59446516","184"
2016-6-8T10:49:25,"35.47342339","139.59446524","184"
2016-6-8T10:49:26,"35.47342339","139.59446526","184"
2016-6-8T10:49:29,"35.47342334","139.59446538","184"
2016-6-8T10:49:30,"35.47342334","139.5944654","184"
2016-6-8T10:49:33,"35.47342332","139.5944654","184"
2016-6-8T10:49:34,"35.4734233","139.59446544","184"
2016-6-8T10:49:37,"35.47342328","139.59446555","184"
2016-6-8T10:49:38,"35.47342328","139.59446559","184"
2016-6-8T10:49:41,"35.47342324","139.59446567","184"
2016-6-8T10:49:42,"35.47342322","139.59446568","184"
2016-6-8T10:49:45,"35.47342316","139.59446578","184"
2016-6-8T10:49:46,"35.47342313","139.59446581","184"
2016-6-8T10:49:47,"35.47342312","139.59446582","184"
2016-6-8T10:49:50,"35.47342308","139.59446589","184"
2016-6-8T10:49:51,"35.47342306","139.5944659","184"
2016-6-8T10:49:54,"35.47342301","139.594466","184"
2016-6-8T10:49:55,"35.47342297","139.59446605","184"
2016-6-8T10:49:58,"35.47342291","139.5944662","184"
2016-6-8T10:49:59,"35.47342288","139.59446629","184"
2016-6-8T10:50:2,"35.47342286","139.59446638","184"
2016-6-8T10:50:3,"35.47340591","139.59448014","184"
2016-6-8T10:50:6,"35.47326141","139.59463162","184"
2016-6-8T10:50:7,"35.47322801","139.59466219","184"
2016-6-8T10:50:10,"35.47313282","139.59474497","184"
2016-6-8T10:50:11,"35.47310715","139.59476643","184"
2016-6-8T10:50:14,"35.47304947","139.59482298","184"
2016-6-8T10:50:15,"35.47304465","139.5948324","184"
2016-6-8T10:50:18,"35.47299627","139.59487751","184"
2016-6-8T10:50:19,"35.47298008","139.59489185","184"
2016-6-8T10:50:20,"35.47296512","139.59490326","184"
